Type,ID,practicetrials.thisRepN,practicetrials.thisTrialN,practicetrials.thisN,practicetrials.thisIndex,key_resp_12.keys,key_resp_12.rt,Atests1.keys,Atests1.rt,Atests2.keys,Atests2.rt,Atests3.keys,Atests3.rt,Atests4.keys,Atests4.rt,Atests5.keys,Atests5.rt,Atests6.keys,Atests6.rt,key_resp_8.keys,key_resp_8.corr,key_resp_8.rt,expName,participant,version,Gender,frameRate
2,54,0,0,0,5,space,0.650605239,space,0.583809838,space,0.517143514,space,0.48374976,space,0.450462189,space,0.550454768,space,0.683839522,j,1,1.850547372,SPR,1,B,F,60.00720074
2,48,0,1,1,3,space,0.400510307,space,0.533797167,space,0.383774155,space,0.433699195,space,0.500447229,space,0.400559648,space,1.05037227,f,0,1.750312429,SPR,1,B,F,60.00720074
3,15,0,2,2,7,space,0.367186421,space,0.466851374,space,0.365872365,space,0.367043923,space,0.318447543,space,0.300595095,space,0.383727971,f,1,0.833690038,SPR,1,B,F,60.00720074
3,14,0,3,3,6,space,0.317206118,space,0.567216578,space,0.483795549,space,0.417293432,space,0.317112172,space,0.333898455,space,0.333395964,j,1,0.633920402,SPR,1,B,F,60.00720074
1,25,0,4,4,2,space,0.383774944,space,0.317116909,space,0.367111422,space,0.417211723,space,0.384129806,space,0.533826772,space,0.767133053,f,1,1.383433897,SPR,1,B,F,60.00720074
2,34,0,5,5,1,space,0.366879321,space,0.383871653,space,0.350603029,space,0.350376059,space,0.30041194,space,0.450617318,space,0.516734573,j,1,0.833912665,SPR,1,B,F,60.00720074
1,17,0,6,6,0,space,0.383894152,space,0.450455874,space,0.584026545,space,0.467292682,space,0.433874455,space,0.583827996,space,1.234090215,f,1,1.233936665,SPR,1,B,F,60.00720074
3,33,0,7,7,8,space,0.600555069,space,0.417240143,space,0.350436848,space,0.350517767,space,0.333795036,space,0.383773365,space,1.000534464,f,1,1.017394562,SPR,1,B,F,60.00720074
3,63,0,8,8,10,space,0.550578319,space,0.53392506,space,0.40046965,space,0.450486662,space,0.417162776,space,0.467128474,space,0.367177342,f,1,1.016808783,SPR,1,B,F,60.00720074
1,33,0,9,9,4,space,0.417096462,space,0.533782957,space,0.367189184,space,0.400529649,space,0.400566753,space,0.367175368,space,0.500457492,f,1,0.817134672,SPR,1,B,F,60.00720074
3,35,0,10,10,9,space,0.467200315,space,0.433771826,space,0.350447505,space,0.417168303,space,0.367064449,space,0.366838269,space,0.43380222,f,1,0.782760804,SPR,1,B,F,60.00720074
3,65,0,11,11,11,space,0.433847219,space,0.40046965,space,0.350468031,space,0.317188355,space,0.367192342,space,0.3671805,space,0.417066462,f,1,0.883851916,SPR,1,B,F,60.00720074
2,57,0,0,0,3,space,0.434051689,space,0.566804085,space,0.433804588,space,0.467070449,space,0.550521083,space,0.7005812,space,0.767316997,j,0,1.317340721,SPR,1,B,F,60.00720074
1,30,0,1,1,1,space,0.467153342,space,0.383790733,space,0.383702708,space,0.317116909,space,0.383822706,space,0.400398993,space,0.517110751,j,1,3.100380993,SPR,1,B,F,60.00720074
1,26,0,2,2,0,space,0.350497636,space,0.500439729,space,0.43378801,space,0.367488784,space,0.367116159,space,0.483820812,space,0.483828311,j,1,1.81710112,SPR,1,B,F,60.00720074
1,32,0,3,3,2,space,0.333851482,space,0.400465702,space,0.383791128,space,0.483893442,space,0.433855903,space,0.533940849,space,0.95049061,j,1,1.817128751,SPR,1,B,F,60.00720074
3,60,0,4,4,11,space,0.534005979,space,0.482338996,space,0.416850545,space,0.418503279,space,0.400331494,space,0.417249222,space,0.383810864,j,1,0.800582463,SPR,1,B,F,60.00720074
2,62,0,5,5,4,space,0.333604381,space,0.633775141,space,0.633953165,space,0.467110711,space,0.433990901,space,0.450467715,space,0.833809641,f,0,1.983856337,SPR,1,B,F,60.00720074
3,39,0,6,6,6,space,0.383673104,space,0.50050407,space,0.400443597,space,0.417099225,space,0.383717708,space,0.350472373,space,0.317099541,f,1,0.733784694,SPR,1,B,F,60.00720074
3,55,0,7,7,10,space,0.350478689,space,0.334069768,space,0.33389806,space,0.300497202,space,0.350545004,space,0.367427601,space,0.467140711,f,1,0.750709922,SPR,1,B,F,60.00720074
2,63,0,8,8,5,space,0.41717146,space,0.383927704,space,0.300361809,space,0.333845166,space,0.417167908,space,0.433782089,space,0.63382093,f,1,1.167187447,SPR,1,B,F,60.00720074
3,16,0,9,9,8,space,0.450516662,space,0.400436098,space,0.367131948,space,0.350601845,space,0.350475926,space,0.333814772,space,0.517077199,j,1,1.317160329,SPR,1,B,F,60.00720074
3,20,0,10,10,9,space,0.333930823,space,0.333851482,space,0.367163526,space,0.333843193,space,0.350597897,space,0.317210854,space,0.63401119,j,1,0.717118803,SPR,1,B,F,60.00720074
3,40,0,11,11,7,space,0.38391231,space,0.367295761,space,0.350451453,space,0.417145408,space,0.40052728,space,0.417168303,space,0.400475571,j,1,1.000412493,SPR,1,B,F,60.00720074
1,16,0,0,0,2,space,1.167484284,space,0.417124093,space,0.450470479,space,0.517180618,space,0.467078344,space,0.467154526,space,0.517132856,f,0,1.850465268,SPR,1,B,F,60.00720074
3,4,0,1,1,8,space,0.400527675,space,0.633659485,space,0.400425045,space,0.46674756,space,0.400519386,space,0.400530833,space,0.300473123,j,1,0.734076004,SPR,1,B,F,60.00720074
3,10,0,2,2,11,space,0.517205486,space,0.550526214,space,0.367303261,space,0.35049882,space,0.383730339,space,0.35054974,space,0.350517767,j,1,0.68379847,SPR,1,B,F,60.00720074
3,3,0,3,3,7,space,0.367154053,space,0.317045463,space,0.350554082,space,0.367162342,space,0.350438032,space,0.367233788,space,0.367167079,f,1,0.917340405,SPR,1,B,F,60.00720074
3,9,0,4,4,10,space,0.367148921,space,0.41709962,space,0.467152948,space,0.383896521,space,0.433732353,space,0.38351008,space,0.53377151,f,1,0.683932678,SPR,1,B,F,60.00720074
3,1,0,5,5,6,space,0.383891784,space,0.467173868,space,0.417190013,space,0.367143,space,0.350409216,space,0.317184802,space,0.31713625,f,1,1.017059041,SPR,1,B,F,60.00720074
2,37,0,6,6,3,space,0.46740518,space,0.417174224,space,0.750406769,space,0.467174658,space,0.883827443,space,0.567142764,space,0.450481136,j,0,1.917065673,SPR,1,B,F,60.00720074
1,2,0,7,7,0,space,0.333975427,space,0.433806957,space,0.400435308,space,0.467171105,space,0.400546227,space,0.450537977,space,0.533788878,f,0,1.817178487,SPR,1,B,F,60.00720074
1,3,0,8,8,1,space,0.350525662,space,0.367047476,space,0.367314313,space,0.550507662,space,0.450727842,space,0.467211762,space,1.200381072,f,1,1.133488962,SPR,1,B,F,60.00720074
2,42,0,9,9,4,space,0.366680772,space,0.450675738,space,0.467122948,space,0.533540988,space,0.433795115,space,0.533973612,space,0.55054753,j,1,1.583674446,SPR,1,B,F,60.00720074
3,8,0,10,10,9,space,0.350511452,space,0.350528425,space,0.367241683,space,0.383862574,space,0.467201105,space,0.53386664,space,0.767157132,j,1,1.100576385,SPR,1,B,F,60.00720074
2,43,0,11,11,5,space,0.383563763,space,0.350353954,space,0.367229051,space,0.36720221,space,0.350221325,space,0.400506359,space,0.50048157,f,1,0.967148211,SPR,1,B,F,60.00720074
3,24,0,0,0,8,space,1.767425548,space,0.450519425,space,0.400462544,space,0.350447505,space,0.317164276,space,0.333754379,space,0.383865337,j,1,1.533915981,SPR,1,B,F,60.00720074
3,48,0,1,1,7,space,0.350571845,space,0.350485005,space,0.317225854,space,0.283853811,space,0.31684494,space,0.367119711,space,0.367242078,j,1,0.850436848,SPR,1,B,F,60.00720074
1,19,0,2,2,1,space,0.450488636,space,0.367177737,space,0.400449124,space,1.017194828,space,0.45065087,space,0.367194315,space,0.450470084,f,1,0.98393331,SPR,1,B,F,60.00720074
2,53,0,3,3,5,space,0.417246459,space,0.350582898,space,0.333851087,space,0.317007963,space,0.317217565,space,0.333884639,space,0.467130053,j,0,1.483888705,SPR,1,B,F,60.00720074
3,29,0,4,4,10,space,0.950629555,space,0.450508373,space,0.400847406,space,0.450372586,space,0.46680598,space,0.350164089,space,0.300123787,f,1,0.833932007,SPR,1,B,F,60.00720074
2,51,0,5,5,3,space,0.367259051,space,0.36723892,space,0.40054899,space,0.417131593,space,0.417134751,space,0.500132629,space,0.500432624,f,1,1.117206749,SPR,1,B,F,60.00720074
3,30,0,6,6,11,space,0.467237025,space,0.450574687,space,0.400537543,space,0.400486623,space,0.433814456,space,0.400513465,space,0.483857521,j,1,1.100747303,SPR,1,B,F,60.00720074
1,18,0,7,7,0,space,0.400484255,space,0.517193644,space,0.350520136,space,0.450501662,space,0.350505925,space,0.467176237,space,1.150621423,j,1,3.734417446,SPR,1,B,F,60.00720074
3,28,0,8,8,9,space,0.367224315,space,0.35062316,space,0.367373128,space,0.317072304,space,0.300537069,space,0.300525228,space,0.383811654,j,1,0.617314511,SPR,1,B,F,60.00720074
1,23,0,9,9,2,space,0.300430887,space,0.384162569,space,0.333827009,space,0.35070408,space,0.350554082,space,0.400501623,space,0.483881995,j,0,1.684048334,SPR,1,B,F,60.00720074
3,43,0,10,10,6,space,0.300170365,space,0.400503991,space,0.467235841,space,0.333802141,space,0.267073844,space,0.283855785,space,0.517011279,f,1,0.667142842,SPR,1,B,F,60.00720074
2,52,0,11,11,4,space,0.400546227,space,0.317136645,space,0.283781181,space,0.300469571,space,0.31710033,space,0.400513465,space,0.634018295,j,1,2.967220446,SPR,1,B,F,60.00720074
